"year","month","day","trt","tariff","stimulus","kwh_mean","kwh_sd","n"
2009,7,14,1,"A","2",10.6542224137931,6.64473593988065,290
2009,7,15,1,"A","2",10.1388155172414,6.17195501051608,290
2009,7,16,1,"A","2",10.1499482758621,6.05210371749774,290
2009,7,17,1,"A","2",10.1282517241379,5.95854096424409,290
2009,7,18,1,"A","2",10.4339982758621,6.33110053002456,290
2009,7,19,1,"A","2",10.5094206896552,6.50897586254207,290
2009,7,20,1,"A","2",10.53645,6.58789646345746,290
2009,7,21,1,"A","2",10.4562172413793,6.2120123171777,290
2009,7,22,1,"A","2",10.3799965517241,6.24265555961357,290
2009,7,23,1,"A","2",10.4389844827586,6.19341870928988,290
2009,7,24,1,"A","2",10.2691706896552,6.11268953960656,290
2009,7,25,1,"A","2",10.5324224137931,6.4924457932976,290
2009,7,26,1,"A","2",10.2977413793103,6.28366618395906,290
2009,7,27,1,"A","2",10.1254206896552,5.88131490963989,290
2009,7,28,1,"A","2",10.4185982758621,6.01876254839904,290
2009,7,29,1,"A","2",10.4261965517241,6.41978774342083,290
2009,7,30,1,"A","2",10.2505724137931,6.34637464446877,290
2009,7,31,1,"A","2",10.6523431034483,6.26174101634267,290
2009,8,1,1,"A","2",11.0033637931034,7.08480955302708,290
2009,8,2,1,"A","2",11.0168879310345,7.10572353740224,290
2009,8,3,1,"A","2",11.0214586206897,6.71393268589569,290
2009,8,4,1,"A","2",10.2238,5.96498410590816,290
2009,8,5,1,"A","2",10.1526482758621,5.96439040313865,290
2009,8,6,1,"A","2",10.1629913793103,6.10699581886105,290
2009,8,7,1,"A","2",10.4867655172414,6.60843674293036,290
2009,8,8,1,"A","2",10.6428327586207,6.7755456524197,290
2009,8,9,1,"A","2",10.7276637931034,6.965202664484,290
2009,8,10,1,"A","2",10.7232827586207,6.41269558779908,290
2009,8,11,1,"A","2",10.5303,6.19964360690154,290
2009,8,12,1,"A","2",10.8163155172414,6.42582551773392,290
2009,8,13,1,"A","2",10.4336931034483,6.2531949903349,290
2009,8,14,1,"A","2",10.3917948275862,6.41095668911406,290
2009,8,15,1,"A","2",10.9872551724138,6.27417794574471,290
2009,8,16,1,"A","2",11.3593810344828,6.96593022106845,290
2009,8,17,1,"A","2",10.53175,6.41011513227984,290
2009,8,18,1,"A","2",10.8992534482759,6.71053915052524,290
2009,8,19,1,"A","2",10.5361,6.53622838522387,290
2009,8,20,1,"A","2",10.3755,6.20651587134406,290
2009,8,21,1,"A","2",10.4163086206897,6.51728571509183,290
2009,8,22,1,"A","2",11.0935206896552,6.83058227894714,290
2009,8,23,1,"A","2",11.5348706896552,7.02493855553196,290
2009,8,24,1,"A","2",10.8923293103448,6.68543938710231,290
2009,8,25,1,"A","2",10.8724413793103,6.84583924629925,290
2009,8,26,1,"A","2",10.8186344827586,6.62385841003392,290
2009,8,27,1,"A","2",10.8017344827586,6.67224930715272,290
2009,8,28,1,"A","2",11.0026827586207,6.89536077951201,290
2009,8,29,1,"A","2",11.2619861591696,6.82002454809463,289
2009,8,30,1,"A","2",11.9759532871972,7.41643052892327,289
2009,8,31,1,"A","2",11.4850206896552,6.99815097301372,290
2009,9,1,1,"A","2",10.9692931034483,6.53250534480325,290
2009,9,2,1,"A","2",11.8646810344828,7.23816422551474,290
2009,9,3,1,"A","2",11.0402344827586,6.65781604206799,290
2009,9,4,1,"A","2",10.6454534482759,6.5710443601546,290
2009,9,5,1,"A","2",11.8351228373702,7.2349629504036,289
2009,9,6,1,"A","2",12.3498982758621,7.72590129942166,290
2009,9,7,1,"A","2",11.0342993079585,6.40932215275896,289
2009,9,8,1,"A","2",11.2158494809689,6.32826776401441,289
2009,9,9,1,"A","2",10.8233062283737,6.35244480595223,289
2009,9,10,1,"A","2",10.6443465517241,6.3327383912965,290
2009,9,11,1,"A","2",10.5477802768166,6.24617575356602,289
2009,9,12,1,"A","2",11.1806730103806,6.5907192109987,289
2009,9,13,1,"A","2",11.3534965397924,6.94845240625579,289
2009,9,14,1,"A","2",10.9408460207612,6.4304018933549,289
2009,9,15,1,"A","2",10.9130743944637,6.58532251294354,289
2009,9,16,1,"A","2",11.0155916955017,6.39333359981101,289
2009,9,17,1,"A","2",10.7486034482759,6.45093440279718,290
2009,9,18,1,"A","2",10.7265706896552,6.36179589554805,290
2009,9,19,1,"A","2",11.561124137931,7.60205416535421,290
2009,9,20,1,"A","2",12.3317647058824,7.60314773321714,289
2009,9,21,1,"A","2",11.3430844827586,6.5372251505087,290
2009,9,22,1,"A","2",10.9861396551724,6.37813797146347,290
2009,9,23,1,"A","2",10.9055068965517,6.42226510531894,290
2009,9,24,1,"A","2",11.1631603448276,6.97658075842829,290
2009,9,25,1,"A","2",10.704374137931,5.97795191104051,290
2009,9,26,1,"A","2",11.811330449827,7.23432939035108,289
2009,9,27,1,"A","2",12.1233910034602,7.46324650958984,289
2009,9,28,1,"A","2",11.2630743944637,6.56880563028841,289
2009,9,29,1,"A","2",11.124660899654,6.6067206950911,289
2009,9,30,1,"A","2",11.0738771626298,6.26076326519459,289
2009,10,1,1,"A","2",11.1633068965517,6.80807389093645,290
2009,10,2,1,"A","2",11.317724137931,6.82117830221123,290
2009,10,3,1,"A","2",12.1884051724138,7.33479613436339,290
2009,10,4,1,"A","2",12.2718737024221,7.58641147878802,289
2009,10,5,1,"A","2",11.3225155172414,6.69214191850194,290
2009,10,6,1,"A","2",11.63375,6.77554590993192,290
2009,10,7,1,"A","2",11.4978620689655,6.95636895399905,290
2009,10,8,1,"A","2",11.2102448275862,6.85950665567351,290
2009,10,9,1,"A","2",11.6211310344828,7.05826998418322,290
2009,10,10,1,"A","2",12.2168598615917,7.49159063923102,289
2009,10,11,1,"A","2",12.2512249134948,7.73212689783146,289
2009,10,12,1,"A","2",11.60425,6.71709373767475,290
2009,10,13,1,"A","2",11.4509172413793,6.80389173886279,290
2009,10,14,1,"A","2",11.2032379310345,6.7077371137469,290
2009,10,15,1,"A","2",11.3927896551724,6.73526448893277,290
2009,10,16,1,"A","2",11.3115534482759,6.52129291740583,290
2009,10,17,1,"A","2",12.011884083045,7.86927474032859,289
2009,10,18,1,"A","2",12.6603806228374,8.01948606696429,289
2009,10,19,1,"A","2",11.8056280276817,7.08394977802005,289
2009,10,20,1,"A","2",11.6275879310345,7.05975123903954,290
2009,10,21,1,"A","2",11.7626706896552,6.86462966949499,290
