"year","month","day","trt","tariff","stimulus","kwh_mean","kwh_sd","n"
2009,7,14,1,"C","2",10.4009508474576,6.56161549453227,295
2009,7,15,1,"C","2",9.72650508474576,6.13868456619212,295
2009,7,16,1,"C","2",9.95330847457627,6.11510946482274,295
2009,7,17,1,"C","2",9.82365254237288,6.44638666379614,295
2009,7,18,1,"C","2",10.8170544217687,7.22620619786711,294
2009,7,19,1,"C","2",11.0848741496599,7.15073004765829,294
2009,7,20,1,"C","2",10.2815255102041,6.4982483996073,294
2009,7,21,1,"C","2",10.5589897959184,6.54119565997009,294
2009,7,22,1,"C","2",10.2626728813559,6.32635444820823,295
2009,7,23,1,"C","2",10.0887847457627,6.3123253360577,295
2009,7,24,1,"C","2",9.8313813559322,5.92518793793254,295
2009,7,25,1,"C","2",10.5856254237288,6.80336531405306,295
2009,7,26,1,"C","2",10.9367203389831,6.90500124408949,295
2009,7,27,1,"C","2",10.3224254237288,6.38584616071332,295
2009,7,28,1,"C","2",10.5255491525424,6.56271457181761,295
2009,7,29,1,"C","2",10.116213559322,5.952076007678,295
2009,7,30,1,"C","2",10.4779627118644,6.2645867509493,295
2009,7,31,1,"C","2",10.8116389830508,6.53032610193586,295
2009,8,1,1,"C","2",10.9412169491525,7.99718208674926,295
2009,8,2,1,"C","2",10.7917254237288,7.26106783067741,295
2009,8,3,1,"C","2",10.9239593220339,6.69225992012233,295
2009,8,4,1,"C","2",10.2899508474576,6.48267548645711,295
2009,8,5,1,"C","2",10.4014084745763,6.58318357868822,295
2009,8,6,1,"C","2",9.9603779661017,6.38144293723979,295
2009,8,7,1,"C","2",9.96290169491525,6.64522825108444,295
2009,8,8,1,"C","2",10.7061677966102,7.25420089164481,295
2009,8,9,1,"C","2",10.841593220339,7.61263299408785,295
2009,8,10,1,"C","2",10.7126457627119,6.48205194485171,295
2009,8,11,1,"C","2",10.4125220338983,6.57780513093078,295
2009,8,12,1,"C","2",10.5018847457627,6.45159203828853,295
2009,8,13,1,"C","2",10.1567322033898,6.26432310445052,295
2009,8,14,1,"C","2",10.9167542372881,6.77112338294882,295
2009,8,15,1,"C","2",11.3734728813559,7.69841896410433,295
2009,8,16,1,"C","2",11.1541677966102,6.88538357878634,295
2009,8,17,1,"C","2",10.6493,6.49278345109839,295
