"year","month","day","trt","tariff","stimulus","kwh_mean","kwh_sd","n"
2009,7,14,1,"C","3",10.5947886597938,6.49845194967619,291
2009,7,15,1,"C","3",9.87855841924399,6.33549508666269,291
2009,7,16,1,"C","3",10.0636649484536,6.33229857966351,291
2009,7,17,1,"C","3",9.82630927835052,6.04339408723875,291
2009,7,18,1,"C","3",10.5445257731959,6.5825581508116,291
2009,7,19,1,"C","3",10.7759432989691,7.00211589199132,291
2009,7,20,1,"C","3",10.2885274914089,6.66838354146926,291
2009,7,21,1,"C","3",10.2647182130584,6.3235934410945,291
2009,7,22,1,"C","3",10.0528797250859,6.52202704773187,291
2009,7,23,1,"C","3",10.2044965635739,6.616547772636,291
2009,7,24,1,"C","3",10.2635962199313,6.43088698775919,291
2009,7,25,1,"C","3",10.8304570446735,7.83086049114458,291
2009,7,26,1,"C","3",10.9692250859107,7.31854194931045,291
2009,7,27,1,"C","3",10.5065154639175,6.41902530082964,291
2009,7,28,1,"C","3",10.6182371134021,6.65224251238508,291
2009,7,29,1,"C","3",10.6508969072165,7.04380215188164,291
2009,7,30,1,"C","3",10.1440738831615,6.44374326760718,291
2009,7,31,1,"C","3",10.2269140893471,6.79531469275915,291
2009,8,1,1,"C","3",10.5404003436426,7.22515964675306,291
2009,8,2,1,"C","3",10.6353848797251,7.45396511119706,291
2009,8,3,1,"C","3",11.2713092783505,7.15604433429265,291
2009,8,4,1,"C","3",10.1562835051546,6.18252183365801,291
2009,8,5,1,"C","3",10.0864553264605,6.05474727936376,291
2009,8,6,1,"C","3",10.0458797250859,6.25285017654442,291
2009,8,7,1,"C","3",10.1104003436426,6.39406851715739,291
2009,8,8,1,"C","3",10.2271099656357,6.55402100779548,291
2009,8,9,1,"C","3",10.898912371134,7.0501114525344,291
2009,8,10,1,"C","3",10.4108058419244,6.28867669219024,291
2009,8,11,1,"C","3",10.7677079037801,6.87801175954109,291
2009,8,12,1,"C","3",10.6329295532646,6.84044411791844,291
2009,8,13,1,"C","3",10.3634140893471,6.68686949018753,291
2009,8,14,1,"C","3",10.5554364261168,6.81811752196735,291
2009,8,15,1,"C","3",10.9787680412371,7.5354009901981,291
2009,8,16,1,"C","3",11.3630378006873,7.38167865127135,291
2009,8,17,1,"C","3",10.6417594501718,6.32363104939186,291
2009,8,18,1,"C","3",10.7602319587629,7.03451689064734,291
2009,8,19,1,"C","3",10.923589347079,7.40365643802671,291
2009,8,20,1,"C","3",10.3073642611684,6.60689849425644,291
2009,8,21,1,"C","3",10.4184312714777,6.61466949551641,291
2009,8,22,1,"C","3",10.7804364261168,6.690470660361,291
2009,8,23,1,"C","3",11.3853402061856,7.48381081570345,291
2009,8,24,1,"C","3",10.7028109965636,6.45612094572884,291
2009,8,25,1,"C","3",10.6834192439863,6.11025534565828,291
2009,8,26,1,"C","3",10.7575841924399,6.70690660238083,291
2009,8,27,1,"C","3",10.6481821305842,6.7807917405553,291
2009,8,28,1,"C","3",10.6941907216495,6.38541800556089,291
2009,8,29,1,"C","3",11.2372147766323,7.25626164707289,291
2009,8,30,1,"C","3",12.0674278350515,7.41169865459318,291
2009,8,31,1,"C","3",11.4794347079038,6.90279391767277,291
2009,9,1,1,"C","3",11.6251512027491,7.07007091496091,291
2009,9,2,1,"C","3",11.4328642611684,6.8696147920385,291
2009,9,3,1,"C","3",11.0111374570447,6.3571006034799,291
2009,9,4,1,"C","3",10.5692869415808,6.16100264743418,291
2009,9,5,1,"C","3",11.5527216494845,7.22233952327743,291
2009,9,6,1,"C","3",11.9315120274914,7.51538830728909,291
2009,9,7,1,"C","3",10.9613298969072,6.4428616467695,291
2009,9,8,1,"C","3",11.200264604811,6.47923481064446,291
2009,9,9,1,"C","3",10.8615137457045,6.62834104093798,291
