,ts,date,year,month,day,hour,minute,tz,hour_cer,day_cer
73,2009-01-02 12:30:00+00:00,1/2/09,2009,1,2,12,30,GMT,26,2
74,2009-01-02 13:00:00+00:00,1/2/09,2009,1,2,13,0,GMT,27,2
75,2009-01-02 13:30:00+00:00,1/2/09,2009,1,2,13,30,GMT,28,2
76,2009-01-02 14:00:00+00:00,1/2/09,2009,1,2,14,0,GMT,29,2
77,2009-01-02 14:30:00+00:00,1/2/09,2009,1,2,14,30,GMT,30,2
78,2009-01-02 15:00:00+00:00,1/2/09,2009,1,2,15,0,GMT,31,2
79,2009-01-02 15:30:00+00:00,1/2/09,2009,1,2,15,30,GMT,32,2
80,2009-01-02 16:00:00+00:00,1/2/09,2009,1,2,16,0,GMT,33,2
81,2009-01-02 16:30:00+00:00,1/2/09,2009,1,2,16,30,GMT,34,2
82,2009-01-02 17:00:00+00:00,1/2/09,2009,1,2,17,0,GMT,35,2
83,2009-01-02 17:30:00+00:00,1/2/09,2009,1,2,17,30,GMT,36,2
84,2009-01-02 18:00:00+00:00,1/2/09,2009,1,2,18,0,GMT,37,2
85,2009-01-02 18:30:00+00:00,1/2/09,2009,1,2,18,30,GMT,38,2
86,2009-01-02 19:00:00+00:00,1/2/09,2009,1,2,19,0,GMT,39,2
87,2009-01-02 19:30:00+00:00,1/2/09,2009,1,2,19,30,GMT,40,2
88,2009-01-02 20:00:00+00:00,1/2/09,2009,1,2,20,0,GMT,41,2
89,2009-01-02 20:30:00+00:00,1/2/09,2009,1,2,20,30,GMT,42,2
90,2009-01-02 21:00:00+00:00,1/2/09,2009,1,2,21,0,GMT,43,2
91,2009-01-02 21:30:00+00:00,1/2/09,2009,1,2,21,30,GMT,44,2
92,2009-01-02 22:00:00+00:00,1/2/09,2009,1,2,22,0,GMT,45,2
93,2009-01-02 22:30:00+00:00,1/2/09,2009,1,2,22,30,GMT,46,2
94,2009-01-02 23:00:00+00:00,1/2/09,2009,1,2,23,0,GMT,47,2
95,2009-01-02 23:30:00+00:00,1/2/09,2009,1,2,23,30,GMT,48,2
96,2009-01-03 00:00:00+00:00,1/3/09,2009,1,3,0,0,GMT,1,3
97,2009-01-03 00:30:00+00:00,1/3/09,2009,1,3,0,30,GMT,2,3
98,2009-01-03 01:00:00+00:00,1/3/09,2009,1,3,1,0,GMT,3,3
99,2009-01-03 01:30:00+00:00,1/3/09,2009,1,3,1,30,GMT,4,3
100,2009-01-03 02:00:00+00:00,1/3/09,2009,1,3,2,0,GMT,5,3
101,2009-01-03 02:30:00+00:00,1/3/09,2009,1,3,2,30,GMT,6,3
102,2009-01-03 03:00:00+00:00,1/3/09,2009,1,3,3,0,GMT,7,3
103,2009-01-03 03:30:00+00:00,1/3/09,2009,1,3,3,30,GMT,8,3
104,2009-01-03 04:00:00+00:00,1/3/09,2009,1,3,4,0,GMT,9,3
105,2009-01-03 04:30:00+00:00,1/3/09,2009,1,3,4,30,GMT,10,3
106,2009-01-03 05:00:00+00:00,1/3/09,2009,1,3,5,0,GMT,11,3
107,2009-01-03 05:30:00+00:00,1/3/09,2009,1,3,5,30,GMT,12,3
108,2009-01-03 06:00:00+00:00,1/3/09,2009,1,3,6,0,GMT,13,3
109,2009-01-03 06:30:00+00:00,1/3/09,2009,1,3,6,30,GMT,14,3
110,2009-01-03 07:00:00+00:00,1/3/09,2009,1,3,7,0,GMT,15,3
111,2009-01-03 07:30:00+00:00,1/3/09,2009,1,3,7,30,GMT,16,3
112,2009-01-03 08:00:00+00:00,1/3/09,2009,1,3,8,0,GMT,17,3
